concept,feature_index,method,alpha_hat,beta,perplexity,mean_nll,ppl_ratio_baseline,delta_log_perplexity,evaluated_tokens
baseline,-1,baseline,0.0,0.0,54.07420166491697,3.990357208251953,1.0,0.0,5120
paris,2252,ordinary,0.05,0.0,54.16302767358675,3.991998529434204,1.001642668887101,0.0016413211822513315,5120
paris,2252,ordinary,0.1,0.0,55.740859878107734,4.020713448524475,1.0308216887512938,0.030356240272522046,5120
paris,2252,ordinary,0.2,0.0,66.49818119166503,4.197174596786499,1.2297579833676706,0.20681738853454593,5120
paris,2252,ordinary,0.3,0.0,86.40359168520412,4.459029245376587,1.5978708704868827,0.4686720371246338,5120
paris,2252,ordinary,0.5,0.0,156.8471805945349,5.055271959304809,2.900591701130864,1.0649147510528563,5120
paris,2252,full_denoising,0.05,1.0,54.141736252663286,3.991605353355408,1.0012489243607294,0.001248145103454799,5120
paris,2252,full_denoising,0.1,1.0,55.52181934810781,4.016776084899902,1.0267709487818486,0.02641887664794946,5120
paris,2252,full_denoising,0.2,1.0,64.08247875897884,4.160170984268189,1.1850841396805156,0.1698137760162356,5120
paris,2252,full_denoising,0.3,1.0,79.11222729836079,4.370867443084717,1.4630308883448269,0.38051023483276397,5120
paris,2252,full_denoising,0.5,1.0,127.90457220849221,4.851284456253052,2.365352945958996,0.8609272480010989,5120
paris,2252,prd,0.05,1.0,54.15707101647803,3.9918885469436645,1.0015325117895328,0.001531338691711537,5120
paris,2252,prd,0.1,1.0,55.79144863509331,4.021620607376098,1.031757232049724,0.03126339912414514,5120
paris,2252,prd,0.2,1.0,68.69482292097106,4.229673838615417,1.2703807140169001,0.23931663036346412,5120
paris,2252,prd,0.3,1.0,96.436720101122,4.568887042999267,1.7834145883228008,0.5785298347473145,5120
paris,2252,prd,0.5,1.0,222.87075630210455,5.4065920352935795,4.121572754474927,1.4162348270416265,5120
ocean,24664,ordinary,0.05,0.0,54.47076012826846,3.997664046287537,1.0073335981141036,0.007306838035583879,5120
ocean,24664,ordinary,0.1,0.0,55.740635283363524,4.020709419250489,1.0308175352966464,0.03035221099853571,5120
ocean,24664,ordinary,0.2,0.0,61.645841156322696,4.12140576839447,1.1400231396540093,0.13104856014251703,5120
ocean,24664,ordinary,0.3,0.0,74.05292955461218,4.304780101776123,1.3694687535749102,0.3144228935241696,5120
ocean,24664,ordinary,0.5,0.0,135.08793563600594,4.905925941467285,2.498195654798732,0.9155687332153324,5120
ocean,24664,full_denoising,0.05,1.0,54.444780954844184,3.9971869945526124,1.0068531624789137,0.006829786300659454,5120
ocean,24664,full_denoising,0.1,1.0,55.539057161587046,4.017086505889893,1.0270897295118175,0.02672929763793951,5120
ocean,24664,full_denoising,0.2,1.0,60.17001531681325,4.097174143791198,1.1127305344176945,0.10681693553924537,5120
ocean,24664,full_denoising,0.3,1.0,68.82757122539705,4.231604409217835,1.2728356426212757,0.24124720096588162,5120
ocean,24664,full_denoising,0.5,1.0,108.61359596507394,4.687796592712402,2.0086028572020846,0.6974393844604494,5120
ocean,24664,prd,0.05,1.0,54.47411473265188,3.9977256298065185,1.0073956351720745,0.007368421554565574,5120
ocean,24664,prd,0.1,1.0,55.769189991181115,4.021221566200256,1.0313456005650814,0.030864357948303275,5120
ocean,24664,prd,0.2,1.0,62.904909445922286,4.141624212265015,1.1633072243160758,0.1512670040130617,5120
ocean,24664,prd,0.3,1.0,81.86291122216365,4.405046033859253,1.513899580606769,0.4146888256072998,5120
ocean,24664,prd,0.5,1.0,209.71488156543543,5.3457489013671875,3.878279754641246,1.3553916931152346,5120
