method,mean_target_retention,minimum_target_retention,mean_specificity_change,mean_ppl_ratio_to_ordinary,mean_ppl_reduction_percent,ppl_wins,evaluated_conditions
full_denoising,0.9360128746391639,0.7242564701135139,-0.20005359277129148,0.9395860475289355,6.041395247106442,10,10
prd,0.9996115699229031,0.8863561585167483,-0.004869256764650487,1.1249787404445817,-12.497874044458163,1,10
