epoch,train_total_loss,train_noise_loss,train_identity_loss,validation_total_loss,validation_noise_loss,validation_identity_loss,validation_total_recovery,validation_gaussian_recovery,validation_sae_recovery
1,0.0746439682201103,0.07461923122847522,0.0002473716007079929,0.07304966894948545,0.07299925669034323,0.0005041225914222499,0.019351311340693678,0.005791081664502373,0.03341647369787637
2,0.07238302388235375,0.07230379795807379,0.0007922569866533633,0.07111561446863537,0.07100663749376933,0.0010897697486604253,0.04497635109460363,0.022307013659233155,0.06848980846854891
3,0.07045698776951542,0.07034768208750972,0.001093058565079614,0.06906844927724451,0.06898784869909287,0.0008060057815164328,0.07015116755469553,0.04001331819774456,0.10141122108671052
4,0.06763050833013323,0.06759224561629472,0.00038262722463588473,0.06695581888420662,0.06694270124038061,0.00013117643826020262,0.0951070013268197,0.058662900644682825,0.13290813624724662
5,0.0663636139035225,0.06635434602366554,9.267691282460604e-05,0.06539566866382374,0.0653860442439715,9.624419852237528e-05,0.1141375386672514,0.0704324922323879,0.1594701093322345
6,0.06458033678708253,0.06457265430026585,7.682704737116755e-05,0.06433650667363738,0.06432917237281799,7.334300819396351e-05,0.12723993921847954,0.08100936646180257,0.17519209373486755
7,0.06391646616988712,0.06390887768180283,7.58824727295346e-05,0.06325235501624993,0.06324485685427983,7.498161970094467e-05,0.1406123601316982,0.09336155292898363,0.18962265179614268
8,0.06296646944681804,0.06295893608309605,7.533164158963633e-05,0.062319264107079164,0.062311554153760274,7.709953318893288e-05,0.1522312153266685,0.10324935677989777,0.20303709371380108
9,0.06161830254947698,0.06161055785969451,7.744579238567018e-05,0.06160015631269392,0.06159194835027059,8.207962423330173e-05,0.16123093248031717,0.11111886807906202,0.2132090415232334
10,0.061666816374769916,0.061658724232956215,8.091856547657194e-05,0.06091554965249767,0.06090708089868228,8.468753815395758e-05,0.16971942966260267,0.11858372889802049,0.22275927652060423
11,0.06050373035227811,0.060495362178043084,8.368245092720759e-05,0.060228665554591373,0.06022017973661423,8.48581797714966e-05,0.17839312703071142,0.12812389874348273,0.23053429870500053
12,0.059501535966440484,0.05949279110409595,8.744839303997449e-05,0.05979573566736459,0.05978666853904724,9.067128317353005e-05,0.18381275994042134,0.1321264099439382,0.2374237623567942
13,0.0595465654708721,0.05953776244432838,8.802912906415898e-05,0.05925403570054914,0.05924486145377159,9.174246777547523e-05,0.19063598214245925,0.1398312525036779,0.24333262442841042
14,0.058809026363823146,0.05879994175831477,9.084723637378947e-05,0.05884383255560533,0.05883405845363935,9.774101965983088e-05,0.19576431863719934,0.14377231038705407,0.24969236232731562
15,0.058299843533171546,0.0582905797318176,9.26381426117452e-05,0.058375451318512205,0.05836572100718816,9.73031132404382e-05,0.20169286372779494,0.15092132730657315,0.25435503211075294
16,0.05767772435148557,0.05766837337613106,9.351115540980741e-05,0.057994663628662235,0.05798476994037628,9.89368828595616e-05,0.20653722660427254,0.1555779894545759,0.25939407670245185
17,0.057343436981792804,0.05733397361194646,9.463271820546922e-05,0.05760017527112505,0.05759030112624169,9.874144883360714e-05,0.21147572070388254,0.16258938581096782,0.26218252145697163
18,0.05672969673739539,0.0567201653862441,9.531632227245374e-05,0.05720670189770753,0.057196801394224166,9.900503483368084e-05,0.2165780412990468,0.1674146305337666,0.2675722361970905
19,0.0576997156198378,0.0576901849353755,9.530609787260699e-05,0.05681190541645046,0.0568019905090332,9.914907417260111e-05,0.2215447348230689,0.17320846670155932,0.27168094027229794
20,0.05676755101261315,0.0567580520775583,9.499062553556911e-05,0.056585777813384384,0.056575729807217916,0.00010048006166471168,0.22439162515617306,0.17689219644685117,0.2736598193419003
