beta,mean_target_retention,minimum_target_retention,positive_concepts,mean_specificity,mean_ppl_ratio_to_ordinary,mean_log_ppl_gain,eligible
0.25,0.9918339687328311,0.973352040210731,4,1.4711674191057682,0.9941779301610486,0.0058390841587350915,True
0.5,0.9822747817400546,0.9422958237726112,4,1.4674328838785498,0.9892123914604658,0.010846216663976106,True
0.75,0.9712400613597455,0.9065303825984854,4,1.4623844934006538,0.9851536961364102,0.01495761329579485,True
1.0,0.9586352659160968,0.8657339955837181,4,1.455862488597632,0.9820525403102016,0.01811046868804805,True
